Ýl Adý;Coðrafi Özellikler;Tarih ve Kültür;Doðal Güzellikler;Turistik Noktalar;Gastronomi;Alýþveriþ;Etkinlikler ve Festivaller
Adana;Konumu: Akdeniz Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Seyhan Nehri, Ceyhan Nehri, Toros Daðlarý. | Ýklimi: Akdeniz iklimi özellikleri gösterir.  Yazlarý sýcak ve kurak, kýþlarý ýlýk ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Taþ Köprü, Varda(Alman) Köprüsü, Büyük Saat, Ramazanoðlu Konaðý, Ulu Cami, Sabancý Merkez Camii, Yalýnkale | Müzeler: Adana Arkeoloji Müzesi, Atatürk Evi Müzesi, Adana Kuruköprü Anýt Müzesi ve Geleneksel Adana Evi ;Milli Parklar: Aladaðlar Milli Parký. |  Sahiller: Yumurtalýk, Karataþ, Yumurtalýk Lagünü. | Daðlar: Toros Daðlarý, Amanos Daðlarý.;Taþ Köprü: Seyhan Nehri üzerinde yer alan tarihi köprü. | Sabancý Merkez Camii: Türkiye'nin en büyük camisi. | Büyük Saat: Türkiye'deki en uzun saat kulesidir.;Adana Kebabý, Ýçli Köfte, Analý Kýzlý Çorbasý, Þýrdan, Bici Bici, Yüksük Çorbasý, Süllüm.;Çarþýlar: Taþköprü, Kazancýlar Çarþýsý. | Alýþveriþ Merkezleri: M1 Adana, Galleria Adana, Optimum Outlet.;Altýn Koza Film Festivali: Her yýl düzenlenen uluslararasý film festivali. | Portakal Çiçeði Karnavalý: Baharýn geliþini kutlamak amacýyla düzenlenen renkli ve neþeli bir etkinliktir.
Adýyaman;Konumu: Güneydoðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Fýrat Nehri, Nemrut Daðý, Kale Peri Bacalarý. | klimi: Kýþlarý soðuk ve yaðýþlý, yazlarý sýcak ve kurak bir iklim hakimdir.;Önemli Tarihi Yapýlar: Nemrut Daðý Heykelleri, Kahta Kalesi, Arsemia Antik Kenti, Cendere Köprüsü, Yeni Kale (Kahta Kalesi). | Müzeler: Adýyaman Müzesi, Kahta Müzesi. | Kültürel Miraslar: Karakuþ Tümülüsü, Yedi Kocalý Hürmüz Anýtý.;Milli Parklar: Nemrut Daðý Milli Parký.| Sahiller: Atatürk Barajý ve Gölleri. | Daðlar: Nemrut Daðý, Munzur Daðlarý.;Nemrut Daðý Heykelleri: Tarihi ve kültürel öneme sahip antik bir mekân. | Kahta Kalesi: Ortaçað dönemine ait tarihi bir kale.  Cendere Köprüsü: Fýrat Nehri üzerinde yer alan antik bir köprü. |  Perre Antik Kent: Kommagene Krallýðý döneminden beri var olan ve Pers, Roma ve Bizans egemenlikleri altýnda yaþamýþ kent. | Mor Petrus ve Mor Pavlus Kilisesi:  Ýlk kez 1701 yýlýnda Metropolitlik kurulmak amacýyla atýlan Meryemana kilisesinin temelleridir. Süryaniler için önemli bir yere sahiptir.;Çiðköfte, Besni Tavasý, Besni Tavasý, Hýtap, Dövmeç, Tevenk Sarmasý;Çarþýlar: Oturakçý Pazarý. | Alýþveriþ Merkezleri: Adýyaman Park AVM.;Nemrut Daðý Kültür ve Turizm Festivali: Nemrut Daðý'nda gerçekleþen geleneksel festival.
Afyonkarahisar;Konumu: Ýç Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Afyon Kalesi, Sandýklý Ovasý, Eber Gölü. | Ýklimi: Kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kurak bir iklim hakimdir.;Önemli Tarihi Yapýlar: Afyon Ulu Cami, Afyonkarahisar Saat Kulesi, Frig Vadisi. | Müzeler: Afyonkarahisar Müzesi, Zafer Müzesi, Bolvadin Belediye Müzesi. ;Milli Parklar: Eber Gölü Tabiat Parký, Sandýklý Termal Milli Parký, 26 Aðustos Tabiat Parký, Akarçay. | Göller: Eber Gölü, Akþehir Gölü, Acýgöl Kuþ Cenneti. | Daðlar: Sultan Daðlarý, Emre Gölü | Maðaralar:  Kurt Ýni Maðarasý, Buzluk Maðarasý.;Afyon Kalesi: Þehrin simgesi olan tarihi kale. | Frig Vadisi: Antik dönemlere ait kalýntýlarý ve doðal güzellikleriyle ünlü vadý. | Sandýklý Termal Kaplýcalarý: Saðlýk turizmi için popüler termal merkezlerden biri.;Sakala çarpan çorbasý, Zürbiye, Çullama köfte, Bükme, Kaymaklý Ekmek Kadayýfý, Toyga Çorbasý, Keþkek, Çullama;Çarþýlar: Bedesten Çarþýsý, Sandýklý Pazarý | Alýþveriþ Merkezleri: Park Afyon AVM, Özdilek Afyonkarahisar AVM.;Sandýklý Geleneksel Tarhana Festivali: Yöresel lezzetlerin ve kültürün kutlandýðý festival. | Uluslararasý Gastro Afyon Lezzet Ve Turizm Festivali: Afyonkarahisar’a ve merkeze baðlý köylere özgü yöresel lezzetleri, yemekleri ve yemek kültürünü tanýtmak 
Aðrý;Konumu: Doðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Murat Nehri, Aðrý Daðý, Tendürek Daðlarý. | Ýklimi: Karasal iklim özellikleri gösterir, kýþlarý soðuk ve kar yaðýþlý, yazlarý ise sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Ýshak Paþa Sarayý, Ahmedi Hani Türbesi, Urartu Kalesi, Þoþik Kalesi. | Müzeler: Aðrý Arkeoloji Müzesi, Doðu Anadolu Müzesi. | Kültürel Miraslar: Aðrý Ulu Cami, Dört Kilise, Eski Bayezid Camii.;Milli Parklar: Aðrý Daðý Milli Parký, Tendürek Daðlarý Tabiat Parký. | Göller: Balýk Gölü, Karasu Gölü. | Daðlar: Aðrý Daðý, Tendürek Daðlarý. | Maðaralar: Meya Maðaralarý, Buz Maðarasý;Kudret Köprüsü: Evliye Çelebi'nin Seyahatnamesinde yer alýr ve Germ’ab-ý ibretnüma olarak bahsedilmiþtir. | Ýshak Paþa Sarayý: Efsanevi bir mimari eser olan tarihi saray. | Diyadin Kaplýcalarý: Saðlýk turizmi için popüler termal merkez. | Meteor Çukuru: Doðal oluþumuyla ilgi çeken bir fenomen.;Mýrra, Gösteberg Et, Abdigör Köftesi, Aðrý usulü haþýl, Selekeli, Yumurtasýz Murtuða, Helise.;Çarþýlar: Aðrý Çarþýsý | Alýþveriþ Merkezleri: Haspark AVM.;Aðrý Daðý Kültür ve Turizm Festivali: Her yýl düzenlenen yerel kültürel etkinlik. | Doðu Anadolu Kültür ve Sanat Festivali: Bölgenin kültürel mirasýný kutlayan festival. | Geleneksel Aðrý Geven Balý Festivali: Geven balýnýn yerel ve ulusal alanda tanýtýmýný saðlamak
Amasya;Konumu: Karadeniz Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Yeþilýrmak Nehri, Amasya Kalesi, Pontus Kral Kaya Mezarlarý. | Ýklimi: Karadeniz iklimi özellikleri gösterir, yazlarý serin ve yaðýþlý, kýþlarý ise ýlýk geçer.;Önemli Tarihi Yapýlar: Kral Kaya Mezarlarý, Hatuniye Camii, Fethiye Camii. | Müzeler: Amasya Müzesi, Amasya Arkeoloji Müzesi, Hazeranlar Konaðý, Sabuncuoglu Týp ve Cerrahi Müzesi. | Kültürel Miraslar: Sultan Beyazýt Camii, Burmalý Minare, Yalýboyu Evleri, Amasya Saat Kulesi.;Milli Parklar: Borabay Gölü ve Tabiat Parký. | Nehirler: Yeþilýrmak. | Daðlar: Kýzýlcahamam Daðlarý.;Amasya Kalesi: Þehrin simgesi olan tarihi kale. | Sultan II. Beyazýt Külliyesi: Osmanlý dönemine ait külliye kompleksi. | Yalýboyu Evleri: Renkli ahþap evlerin bulunduðu tarihi sokak. | Kral Kaya Mezarlarý: M.Ö. 256 ve M.Ö. 185 arasýnda Helenistik Dönem’de baþkent olarak kullanýlmýþtýr. | Þehzadeler Yolu: Yeþilýrmak’ýn kenarýndaki yola, þehri yöneten þehzadelerin büstleri yerleþtirilmiþtir.;Kesme Ýbik Çorbasý, Kabak Kavuklu Pilav, Kaypak, Patlýcanlý Pilav, Unutma Beni Tatlýsý, Amasya Çöreði, Helle Çorbasý, Hengel, Yakasal Böreði;Çarþýlar: Amasya Çarþýsý | Alýþveriþ Merkezleri: Amasya Park AVM.;Amasya Kiraz Festivali: Þehrin ünlü kirazýný kutlayan festival.
Ankara;Konumu: Ýç Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Ankara Kalesi, Eymir Gölü, Mogan Gölü. | Ýklimi: Kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kurak bir iklim hakimdir.;Önemli Tarihi Yapýlar: Anýtkabir, Kocatepe Camii, Roma Hamamý. | Müzeler: Anadolu Medeniyetleri Müzesi, Devlet Resim ve Heykel Müzesi,  Erimtan Arkeoloji ve Sanat Müzesi. | Kültürel Miraslar: Atatürk Orman Çiftliði, Hamamönü, Beypazarý Evleri.;Milli Parklar: Atatürk Orman Çiftliði, Göksu Parký, Kýzýlcahamam Soðuksu Milli Parký. | Göller: Eymir Gölü, Mogan Gölü, Nallýhan Kuþ Cenneti, Karagöl. | Daðlar: Kýzýlcahamam Daðlarý, Elmadað. | Maðara: Ýnönü Maðaralarý.;Anýtkabir: Türkiye Cumhuriyeti'nin kurucusu Mustafa Kemal Atatürk'ün anýt mezarý ve müzesi. | Ankara Kalesi: Þehrin tarihi merkezinde yer alan antik kale. | Altýnpark: Dinlenme alanlarý ve eðlence aktiviteleriyle ünlü park. | Hacý Bayram Camii ;Ankara Tava, Homaça, Öllüðün Körü, Fesleðenli Beypazarý Kurusu, Entekke Böreði, Elmadað Tiridi;Çarþýlar: Ulus Çarþýsý, Beypazarý Tarihi Çarþýsý. | Alýþveriþ Merkezleri: Armada AVM, Ankamall.;Ankara Uluslararasý Film Festivali: Her yýl düzenlenen uluslararasý film festivali. | Ankara Caz Festivali: Caz müziðinin önemli isimlerini aðýrlayan festival. | Uçurtma Þenliði: Baharýn geliþini kutlamak amacýyla çocuklarýn uçurtmalarýný uçurtaraký bir þenlik, bir panayýr ve  festival halinde geçmektedir. | Uluslararasý Nallýhan Ýpek Ýðne Oya Kültür ve Sanat Festivali : Ýðne oyasý yarýþmasýdýr. 
Antalya;Konumu: Akdeniz Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Toros Daðlarý, Antalya Körfezi, Düden Þelalesi. | Ýklimi: Akdeniz iklimi özellikleri gösterir, yazlarý sýcak ve kurak, kýþlarý ýlýk ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Antalya Kaleiçi, Yivli Minare Camii, Hadrian Kapýsý, Noel Baba Kilisesi, Kýzýl Kule. | Müzeler: Antalya Müzesi, Atatürk Evi Müzesi, Antalya Etnografya Muzesi, Aziz (St.) Nikolaos Anýt Müzesi, Alanya Arkeoloji Müzesi. | Kültürel Miraslar: Termessos Antik Kenti, Aspendos Tiyatrosu, Perge Antik Kenti, Myra Antik Kenti, Olimpos Antik Kenti, Apollon Tapýnaðý, Tarihi Saat Kulesi.;Milli Parklar: Kursunlu Þelalesi Tabiat Parký, Göynük Kanyonu, Ýncekum Tabiat Parký, Yanartaþ Milli Parký, Köprülü Kanyon Milli Parký. | Plajlar: Konyaaltý Plajý, Lara Plajý, Kemer Plajý. | Daðlar: Beydaðlarý, Saklýkent Daðý. | Þelaleler: Manavgat Þelalesi | Maðaralar: Karain Maðarasý;Antalya Kaleiçi: Tarihi ve turistik bölge, dar sokaklarý ve tarihi yapýlarýyla ünlü. | Düden Þelalesi: Þehrin doðal güzelliklerinden biri, þelalenin denize döküldüðü nokta manzarasýyla ünlü. | Antalya Akvaryum: Türkiye'nin en büyük akvaryumu, deniz canlýlarýný sergileyen bir tesis. | Olympos Antik Kenti: Likya Birliði döneminde önemli bir liman kenti olarak hizmet vermiþ ve doðal güzelliklerle çevrili bir tarihi mekandýr. | Aspendos Antik Kenti: Roma döneminde inþa edilmiþ tiyatrosuyla ünlü olan bir tarihi eserdir.;Taþ Kadayýf, Piyaz, Çökertme Kebabý, Hibeþ, Balýk Ekþilemesi, Domates Civesi, Holuþka, Gülüklü (Hülüklü) Çorba, Karpuz Kabuðu Reçeli, Bergamut Reçeli;Çarþýlar: Antalya Kaleiçi Çarþýsý, Uzun Çarþý | Alýþveriþ Merkezleri: MarkAntalya AVM, Agora Antalya AVM, Mall of Antalya, Erasta AVM Antalya, The Land of Legends Shopping Avenue;Antalya Altýn Portakal Film Festivali: Her yýl düzenlenen uluslararasý film festivali. | Antalya Karnavalý: Þehrin renkli ve coþkulu etkinliði, sokak gösterileri ve konserlerle kutlanýr. | Antalya Piyanist Festivali: Piyano sanatýný kutlayan ve uluslararasý düzeyde tanýnmýþ piyanistleri aðýrlayan bir etkinlik.
Artvin;Konumu: Karadeniz Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Kaçkar Daðlarý, Borçka Karagöl, Çoruh Nehri. | Ýklimi: Karadeniz iklimi özellikleri gösterir, bol yaðýþlý ve nemli bir iklim hakimdir.;Önemli Tarihi Yapýlar: Artvin Kalesi, Çife Köprüler, Þehitler Anýtý, Bedre Köprüsü. | Müzeler: Artvin Etnografya Müzesi, Dikyamaç Müzesi, Gastronomi Müzesi. | Kültürel Miraslar:  Ýþhani Manastýrý.;Milli Parklar: Karagöl-Sahara Milli Parký, Hatila Vadisi Tabiat Parký. | Göller: Borçka Karagöl, Þavþat Karagöl, Kafkasör Yaylasý. | Daðlar: Kaçkar Daðlarý, Artvin Yaylasý. | Kanyon ve Þelaleler: Cehennem Deresi Kanyonu, Deliklikaya.;Artvin Kalesi: Þehrin tarihi sembolü, muhteþem manzarasýyla ziyaretçileri kendine hayran býrakýyor. | Borçka Karagöl: Doðal güzelliði ve temiz havasýyla ünlü bir turistik destinasyon. | Þavþat Karagöl: Yemyeþil doðasý ve serin suyuyla görenleri etkisi altýna alan bir doða harikasý. | Murgul Maðaralarý: Doðal güzelliði ve içinde barýndýrdýðý tarihi izlerle ziyaretçilerini büyüleyen maðaralar.;Kalaco, Hýnkal, Çergebaz, Puçuko, Yoðurtlu Silor, Cevizli Kete;Alýþveriþ Merkezleri: Artrium Alýþveriþ ve Yaþam Merkezi;Artvin Yayla Þenlikleri: Yayla yaþamýnýn ve doðal güzelliklerin kutlandýðý renkli bir etkinlik.
Aydýn;Konumu: Ege Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Latmos Daðlarý, Büyük Menderes Nehri, Bafa Gölü. | Ýklimi: Akdeniz iklimi özellikleri gösterir, yazlarý sýcak ve kurak, kýþlarý ýlýk ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Ayasuluk Kalesi, Arpaz Kalesi, Milet Antik Kenti, Didim Apollon Tapýnaðý. | Müzeler: Aydýn Arkeoloji Müzesi, Afrodisias Antik Kenti Müzesi. | Kültürel Miraslar, Öküz Mehmet Paþa Kervansarayý: Þirince Köyü, Karacasu Evleri, Priene Antik Kenti, Afrodisias Antik Kenti, Tralleis Antik Kenti.;Milli Parklar: Dilek Yarýmadasý-Büyük Menderes Deltasý Milli Parký. | Göller: Bafa Gölü.| Daðlar: Latmos Daðlarý. | Kanyonlar: Arapapýþtý Kanyonu, Görle Kanyonu, Narlýdere Kanyonu;Kuþadasý: Ege'nin turistik merkezlerinden biri, plajlarý ve eðlence mekânlarýyla ünlü. | Pamukkale: Doðal travertenleri ve antik Hierapolis þehriyle tanýnan bir turistik destinasyon. | Afrodisias Antik Kenti: Antik dönemlere ait kalýntýlarý ve Afrodit Tapýnaðý ile ünlü bir antik kent. | Didim Apollon Tapýnaðý: Antik dönemin önemli yapýlarýndan biri olan Didyma'daki Apollon Tapýnaðý, tarihi ve mimari açýdan büyüleyici bir yapýdýr.;Bolama (Lok Lok Pilavý), Pelvize Tatlýsý, Paþa Böreði, Çine Köftesi, Ayran Böreði, Ýmambayýldý;Alýþveriþ Merkezleri: Forum Aydýn, Kipa AVM.;Uluslararasý Nysa Çilek Tarým Kültür Festivali: Nysa Antik Kenti'nin çilek tarýmýyla özdeþleþen tarihini ve bölgedeki tarýmsal kültürü kutlamak amacýyla düzenlenir. | Didim VeganFest: Vegan yaþam tarzýný benimseyenlerin bir araya gelerek bilgi alýþveriþi yapabileceði, deneyimlerini paylaþabileceði ve birlikte eðlenebileceði bir platform sunar. | Kuþadasý Gençlýk Festivali: Sevgi Plajý'nda katýlýmcýlarýn çadýrlarda konaklama imkaný bulduklarý müzikler eþliðinde gerçekleþen dolu dolu bir etkinlik.
Balýkesir;Konumu: Marmara Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Kaz Daðlarý, Manyas Gölü, Ayvalýk Adalarý. | Ýklimi: Marmara iklimi özellikleri gösterir, yazlarý sýcak ve kurak, kýþlarý ýlýman ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Balýkesir Kalesi, Ayvalýk Rum Evleri, Gönen Kervansarayý, Zeytinli Köyü, Kirazlý Manastýrý, Zaðnos Paþa Camisi . | Müzeler: Balýkesir Arkeoloji Müzesi, Bandýrma Vapuru Müzesi, Kuva-yý Milliye Müzesi, Tahtakuþlar Etnografya Müzesi, Saraylar Köyü Açýk Hava Müzesi, Sevim Ve Necdet Kent Kitaplýðý. | Kültürel Miraslar: Cunda, Adasý, Edremit Saat Kulesi, Kyzikos Antik Kenti, Antandros Antik Kenti, Daskyleion Antik Kenti.;Milli Parklar: Kuþ Cenneti Milli Parký, Ayvalýk Adalar Tabiat Parký, Kaz Daðlarý Milli Parký. | Göller: Manyas Gölü, Uluabat Gölü. | Daðlar: Kaz Daðlarý, Madra Daðý, Þeytan Sofrasý. | Adalar: Avþa Adasý | Þelale ve Kanyonlar: Sütüven Þelalesi, Þahinderesi Kanyonu;Troya Antik Kenti: Eski çaðlardan kalma tarihi bir yer olan Troya, mitolojik hikayesiyle ünlüdür ve UNESCO Dünya Mirasý Listesi'nde yer alýr. | Þeytan Sofrasý: Büyük kayalýk tepelerin üzerinde yer alan ve oldukça etkileyici olan Þeytan Sofrasý, Ayvalýk Adalarý ve Midilli Adasý’nýn manzarasýný gözler önüne sunuyor.;Saçaklý Mantý, Mafiþ Tatlýsý, Börülce Ekþilemesi, Sura, Höþmerim,  Bigadiç Güveci, Peynirli Patlýcan, Balýkesir Kaymaklýsý;Çarþýlar: Ayvalýk Çarþýsý. | Alýþveriþ Merkezleri: 10 Burda AVM;Edremit Zeytin Festivali: Zeytin ürünlerinin sergilendiði ve yöresel lezzetlerin tadýldýðý bir festival. | Uluslararasý Bandýrma Kuþ Cenneti Festivali: Bandýrma ilçesinde gerçekleþen bu festival, kuþ gözlemciliði ve doða turizmi üzerine odaklanýr. Doða yürüyüþleri, kuþ gözlem turlarý ve çeþitli atölye çalýþmalarý etkinlik programýnýn parçalarýdýr. | Ayvalýk Uluslararasý Zeytin ve Zeytinyaðý Festivali: Balýkesir'e baðlý olan Ayvalýk ilçesinde düzenlenen bu festival, zeytin ve zeytinyaðý kültürünü vurgular. Yöresel ürünlerin sergilendiði pazarlar, zeytinyaðý tadým etkinlikleri, konserler ve paneller festivalin içeriðini oluþturur.
